Feature,Importance
is_specific_location,0.5434654021405676
has_contact_info,0.2212465310597086
sensitive_keyword_density_bio_normalized,0.09740039972654488
has_sensitive_keywords,0.06423464081156469
followers_normalized,0.039800466873226685
privacy_setting_score,0.027485792458048698
likes_normalized,0.00358472210273201
comments_normalized,0.0017412313158305054
follower_following_ratio_normalized,0.00015645880810166078
shares_to_likes_ratio_normalized,0.00011035960675758598
following_normalized,9.831026843335294e-05
days_since_post_normalized,9.411354270372064e-05
comments_per_post_normalized,8.26444759697371e-05
engagement_normalized,8.186046317066148e-05
account_age_normalized,7.648441663929844e-05
post_text_length_normalized,7.218564704647997e-05
bio_sentiment_score,5.781630384468427e-05
avg_time_between_posts_days_normalized,4.4361221851424524e-05
activity_normalized,2.8994127022881844e-05
media_type_score,2.8185199605346224e-05
post_text_sentiment_score,2.8022712429023778e-05
hashtag_score,1.6850110415948072e-05
is_verified,1.465108513382478e-05
sensitive_keyword_density_post_normalized,1.0661246788180573e-05
has_email_in_bio,9.560570560026178e-06
Platform_Instagram,8.826453709916493e-06
Platform_Goodreads,5.7113394333486295e-06
Platform_Twitter,5.075174624451549e-06
Platform_YouTube,4.095239193167281e-06
num_mentions_in_posts_normalized,2.898906754948448e-06
Platform_Spotify,1.702692999966664e-06
Platform_Twitch,9.838985865982841e-07
has_phone_in_bio,0.0
